Employee ID,Department,Gender,Age,Job_Title,Hire_Date,Years_At_Company,Education_Level,Performance_Score,Monthly_Salary,Overtime_Hours,Training_Hours,Promotions,Employee_Satisfaction_Score,Resigned,Age Group,Salary Category,Performance Score
1,IT,Male,55,Specialist,19-Jan-22,2,High School,5,6750,22,66,0,2.63,FALSE,50+,6K-6.9K,high
2,Finance,Male,29,Developer,18-Apr-24,0,High School,5,7500,13,61,2,1.72,FALSE,20-29,7K+,high
3,Finance,Male,55,Specialist,26-Oct-15,8,High School,3,5850,6,1,0,3.17,FALSE,50+,Below 6K,medium
4,Customer Support,Female,48,Analyst,22-Oct-16,7,Bachelor,2,4800,28,0,1,1.86,FALSE,40-49,Below 6K,low
5,Engineering,Female,36,Analyst,23-Jul-21,3,Bachelor,2,4800,29,9,1,1.25,FALSE,30-39,Below 6K,low
6,IT,Male,43,Manager,14-Aug-16,8,High School,3,7800,8,95,0,2.77,FALSE,40-49,7K+,medium
7,IT,Male,37,Technician,28-Aug-23,1,Bachelor,5,5250,29,27,0,4.46,FALSE,30-39,Below 6K,high
8,Engineering,Female,55,Engineer,27-Oct-14,9,Bachelor,2,7200,7,64,0,2.09,FALSE,50+,7K+,low
9,Marketing,Female,55,Technician,29-Jun-23,1,High School,2,4200,21,0,1,1.44,FALSE,50+,Below 6K,low
10,Engineering,Female,45,Consultant,23-Dec-16,7,Bachelor,1,6050,2,53,2,2.93,FALSE,40-49,6K-6.9K,low
11,Customer Support,Male,52,Engineer,26-Nov-19,4,Bachelor,3,7800,5,90,1,2.34,FALSE,50+,7K+,medium
12,Customer Support,Male,27,Technician,19-Feb-15,9,Bachelor,5,5250,2,88,0,1.96,FALSE,20-29,Below 6K,high
13,HR,Male,51,Technician,04-Jul-19,5,Bachelor,4,4900,16,17,2,2.13,FALSE,50+,Below 6K,high
14,e,Male,27,Analyst,14-Oct-14,9,Bachelor,4,5600,5,26,1,1.46,FALSE,20-29,Below 6K,high
15,Finance,Male,46,Analyst,11-Mar-23,1,Master,1,4400,13,37,1,2.22,FALSE,40-49,Below 6K,low
16,Customer Support,Male,26,Developer,19-Apr-23,1,High School,2,6000,9,46,1,2.42,FALSE,20-29,6K-6.9K,low
17,Operations,Male,29,Engineer,21-Sep-19,4,Bachelor,2,7200,29,76,2,3.15,FALSE,20-29,7K+,low
18,Sales,Other,28,Developer,08-Nov-22,1,High School,3,6500,6,54,0,1.19,FALSE,20-29,6K-6.9K,medium
19,Customer Support,Other,56,Developer,01-Oct-15,8,Bachelor,1,5500,24,36,0,1.12,FALSE,50+,Below 6K,low
20,Finance,Male,23,Technician,08-May-15,9,High School,2,4200,9,66,0,3.91,FALSE,20-29,Below 6K,low
21,Operations,Female,33,Manager,19-Dec-22,1,Bachelor,1,6600,13,53,2,3.7,FALSE,30-39,6K-6.9K,low
22,Sales,Male,59,Manager,25-May-17,7,Master,5,9000,9,20,0,4.66,FALSE,50+,7K+,high
23,Finance,Male,26,Specialist,23-Jul-16,8,High School,4,6300,9,71,2,3.68,FALSE,20-29,6K-6.9K,high
24,Sales,Male,58,Consultant,21-Jan-18,6,Master,2,6600,28,78,2,4.26,FALSE,50+,6K-6.9K,low
25,HR,Female,38,Analyst,23-Jun-18,6,Bachelor,2,4800,24,49,1,4.43,FALSE,30-39,Below 6K,low
26,Customer Support,Male,38,Specialist,03-May-22,2,Bachelor,5,6750,0,9,2,2.12,FALSE,30-39,6K-6.9K,high
27,Finance,Male,45,Engineer,12-Jul-21,3,Bachelor,2,7200,23,26,1,3.16,FALSE,40-49,7K+,low
28,Legal,Male,43,Manager,22-Nov-14,9,Master,3,7800,3,45,2,1.35,TRUE,40-49,7K+,medium
29,Engineering,Male,53,Specialist,17-Apr-22,2,Bachelor,2,5400,14,42,1,4.52,FALSE,50+,Below 6K,low
30,Finance,Male,52,Analyst,21-Jun-23,1,High School,3,5200,29,37,2,4.95,FALSE,50+,Below 6K,medium
31,Customer Support,Male,58,Consultant,14-May-18,6,Bachelor,1,6050,25,16,2,4.65,FALSE,50+,6K-6.9K,low
32,Legal,Female,24,Manager,12-Jun-23,1,High School,4,8400,7,22,0,1.95,FALSE,20-29,7K+,high
33,Customer Support,Male,29,Analyst,13-Jun-24,0,High School,2,4800,16,37,0,4.43,FALSE,20-29,Below 6K,low
34,Sales,Female,25,Engineer,11-Sep-21,2,PhD,4,8400,24,37,2,2.1,FALSE,20-29,7K+,high
35,Marketing,Male,41,Analyst,23-May-19,5,Master,4,5600,0,36,1,1.94,FALSE,40-49,Below 6K,high
36,HR,Female,42,Engineer,12-Oct-19,4,Master,5,9000,18,21,1,4.21,FALSE,40-49,7K+,high
37,Sales,Male,43,Consultant,04-Apr-24,0,High School,2,6600,10,18,1,4.97,FALSE,40-49,6K-6.9K,low
38,Sales,Other,46,Consultant,13-Jan-15,9,Master,2,6600,15,48,0,2.47,FALSE,40-49,6K-6.9K,low
39,IT,Male,48,Specialist,03-Feb-22,2,Bachelor,1,4950,1,6,1,2.66,FALSE,40-49,Below 6K,low
40,HR,Female,58,Engineer,11-Apr-23,1,Bachelor,5,9000,2,85,1,4.22,FALSE,50+,7K+,high
41,HR,Female,44,Analyst,25-Dec-20,3,Bachelor,2,4800,9,28,2,2.9,TRUE,40-49,Below 6K,low
42,Marketing,Male,29,Specialist,31-Oct-21,2,High School,4,6300,6,28,2,4.84,FALSE,20-29,6K-6.9K,high
43,Customer Support,Male,60,Engineer,11-Aug-16,8,Bachelor,3,7800,4,21,0,3.59,FALSE,50+,7K+,medium
44,Marketing,Female,43,Manager,21-May-21,3,High School,3,7800,2,85,0,3.32,FALSE,40-49,7K+,medium
45,Customer Support,Female,46,Developer,03-Mar-21,3,Master,2,6000,29,4,1,2.53,FALSE,40-49,6K-6.9K,low
46,HR,Female,29,Specialist,12-Jun-16,8,High School,2,5400,11,90,1,1.59,FALSE,20-29,Below 6K,low
47,HR,Male,32,Technician,03-Apr-21,3,Bachelor,4,4900,26,21,2,1.27,FALSE,30-39,Below 6K,high
48,Operations,Male,31,Specialist,23-Nov-23,0,Bachelor,1,4950,20,82,2,4.84,FALSE,30-39,Below 6K,low
49,Legal,Male,40,Specialist,02-Jun-16,8,High School,5,6750,0,13,1,2.9,FALSE,40-49,6K-6.9K,high
50,Operations,Other,57,Developer,24-Jan-20,4,High School,2,6000,19,15,0,1.47,FALSE,50+,6K-6.9K,low
